college_name,branch,rank
Indian Institute  of Technology Jodhpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",2408
"National Institute of Technology, Warangal","Computer Science and Engineering (4 Years, Bachelor of Technology)",2413
Indian Institute  of Technology Gandhinagar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",2465
Indian Institute  of Technology Ropar,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",2496
Indian Institute  of Technology Madras,"Mechanical Engineering (4 Years, Bachelor of Technology)",2572
Indian Institute  of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",2694
Indian Institute  of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",2749
Indian Institute  of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",2752
Indian Institute  of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",2768
Indian Institute  of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",2783
Indian Institute  of Technology Patna,"Computer Science and Engineering (4 Years, Bachelor of Technology)",2811
Indian Institute  of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",2824
Indian Institute  of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",2855
Indian Institute  of Technology (BHU) Varanasi,"Electronics Engineering (4 Years, Bachelor of Technology)",2876
Indian Institute  of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",2909
Indian Institute  of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",2910
Indian Institute  of Technology (BHU) Varanasi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",2912
Indian Institute  of Technology Kanpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",2940
"National Institute of Technology Karnataka, Surathkal","Artificial Intelligence (4 Years, Bachelor of Technology)",2973
Indian Institute  of Technology Gandhinagar,"Artificial Intelligence (4 Years, Bachelor of Technology)",2979
Indian Institute  of Technology Roorkee,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",3004
Indian Institute  of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",3007
Indian Institute  of Technology Ropar,"Mathematics and Computing (4 Years, Bachelor of Technology)",3082
Indian Institute  of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",3101
"National Institute of Technology, Warangal","Computer Science and Engineering (4 Years, Bachelor of Technology)",3115
Indian Institute  of Technology Madras,"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",3171
Indian Institute  of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",3173
